metric,component,name,shapley,shapley_lo,shapley_hi,shapley_p,loo,loo_p,aoi,aoi_p,n_seeds,shapley_p_holm
intrusion_count,R4,time-to-collision,-0.08981111111111112,-0.16643333333333332,-0.018544444444444447,0.09375,-0.02399999999999995,0.9375,-0.02066666666666667,0.375,6,0.25
intrusion_count,R5,jerk / smoothness,0.6639666666666667,0.49303333333333327,0.8409777777777775,0.03125,0.9636666666666667,0.03125,0.49833333333333335,0.03125,6,0.15625
nav_time_succ,R1,goal reaching,-0.7970882331314305,-0.9889660115955401,-0.577759555701964,0.03125,-2.1071791878747557,0.03125,0.0,1.0,6,0.15625
nav_time_succ,R2,distance shaping,-4.123211155755637,-5.855304909377125,-2.070792356631007,0.0625,-9.22844632813931,0.0625,-2.1853945737950826,0.5,6,0.1875
nav_time_succ,R3,personal space,-0.06956013750908262,-1.3053765762751468,0.8559867496463291,0.90625,-1.837611581467846,0.59375,0.0,1.0,6,0.90625
nav_time_succ,R4,time-to-collision,0.765121341929409,0.11144809452939336,1.683735742305199,0.1875,-0.0068624709394550605,0.96875,0.0,1.0,6,0.375
nav_time_succ,R5,jerk / smoothness,-7.013051578016001,-8.941509949797046,-5.289552520726251,0.03125,-11.237789762482743,0.03125,-4.7974228322771575,0.25,6,0.15625
mean_sq_accel,R1,goal reaching,0.005321573637685175,-0.007281212500748844,0.01598017246871523,0.4375,-0.011653114985786908,0.65625,0.0,1.0,6,1.0
mean_sq_accel,R2,distance shaping,0.4131748656419572,0.2771394023242674,0.5962488414504189,0.03125,0.299837350510144,0.03125,0.6121127847392757,0.1875,6,0.15625
mean_sq_accel,R3,personal space,-0.022346935281605283,-0.119525301094927,0.07545916607623995,0.65625,0.03865061413131285,1.0,-0.05139882564268042,0.59375,6,1.0
mean_sq_accel,R4,time-to-collision,-0.04351870735243268,-0.14510995671588783,0.037033474283112815,0.53125,0.017678542618657856,0.53125,-0.17822478190330868,0.65625,6,1.0
mean_sq_accel,R5,jerk / smoothness,-0.37616029878978036,-0.5857505781550159,-0.18256313240547054,0.03125,-0.494635147492882,0.125,-0.24131718292733173,0.46875,6,0.15625
action_autocorr,R1,goal reaching,-0.0053497994489636845,-0.008367264509538848,-0.002273748258378823,0.0625,-0.010811893738913078,0.0625,0.0,1.0,6,0.1875
action_autocorr,R2,distance shaping,0.09927471824410505,0.040288981973820866,0.1633876047223111,0.03125,-0.022093158181662593,0.03125,0.17481391813868438,0.15625,6,0.15625
action_autocorr,R3,personal space,-0.010947098952769534,-0.05650049504837527,0.031849975659602875,0.78125,-0.002275417298839418,0.71875,-0.05711425271185658,0.71875,6,0.78125
action_autocorr,R4,time-to-collision,-0.017487557694899073,-0.048546779985452475,0.008566476195814358,0.375,-0.00015680010974935174,0.96875,-0.07618053412339502,0.4375,6,0.75
action_autocorr,R5,jerk / smoothness,0.2459213028752192,0.15963011725550164,0.34178002648336864,0.03125,0.12499347035644963,0.0625,0.33370018535908336,0.03125,6,0.15625
