config,seed,success_peak,success_final,drop,collapsed,policy_std_start,policy_std_end,std_ratio,runaway_exploration,alias
R123,1,0.0,0.0,0.0,False,0.6065306663513184,0.4064425230026245,0.670110425656866,False,B4_goal+dist+space
R123,2,0.0,0.0,0.0,False,0.6065306663513184,0.4584275484085083,0.755819241863321,False,B4_goal+dist+space
R123,3,0.0,0.0,0.0,False,0.6065306663513184,0.4812705814838409,0.7934810359697071,False,B4_goal+dist+space
R123,4,0.0,0.0,0.0,False,0.6065306663513184,0.4616223871707916,0.7610866404295012,False,B4_goal+dist+space
R123,5,0.0,0.0,0.0,False,0.6065306663513184,0.4920244812965393,0.8112112191398183,False,B4_goal+dist+space
R124,0,0.0,0.0,0.0,False,0.6065306663513184,0.4226989150047302,0.6969126846422172,False,B5_goal+dist+ttc
R124,1,0.0,0.0,0.0,False,0.6065306663513184,0.4101545214653015,0.6762304764121017,False,B5_goal+dist+ttc
R124,2,0.0,0.0,0.0,False,0.6065306663513184,0.4485410749912262,0.739519203026446,False,B5_goal+dist+ttc
R124,3,0.0,0.0,0.0,False,0.6065306663513184,0.4539284706115722,0.7484015166821673,False,B5_goal+dist+ttc
R124,4,0.0,0.0,0.0,False,0.6065306663513184,0.4358662664890289,0.7186219768755497,False,B5_goal+dist+ttc
R124,5,0.701,0.48027777777777775,0.2207222222222222,True,0.6065306663513184,0.4499471783638,0.7418374755402374,False,B5_goal+dist+ttc
R125,0,0.974,0.9490000000000001,0.02499999999999991,False,0.6065306663513184,0.3302252292633056,0.5444493536490544,False,B3_goal+dist+jerk
R125,1,0.962,0.9423333333333331,0.019666666666666832,False,0.6065306663513184,0.3224391937255859,0.5316123513840942,False,B3_goal+dist+jerk
R125,2,0.9620000000000001,0.9432222222222221,0.018777777777778004,False,0.6065306663513184,0.3317714333534241,0.5469986131933738,False,B3_goal+dist+jerk
R125,3,0.9559999999999998,0.9411666666666666,0.014833333333333254,False,0.6065306663513184,0.345519870519638,0.5696659537400932,False,B3_goal+dist+jerk
R125,4,0.967,0.9543333333333331,0.012666666666666826,False,0.6065306663513184,0.3371292650699615,0.5558321842125744,False,B3_goal+dist+jerk
R125,5,0.9650000000000001,0.9462222222222222,0.018777777777777893,False,0.6065306663513184,0.3297298550605774,0.5436326196729998,False,B3_goal+dist+jerk
R134,0,0.0,0.0,0.0,False,0.6065306663513184,0.4218370616436004,0.695491728689051,False,
R134,1,0.0,0.0,0.0,False,0.6065306663513184,0.3884367346763611,0.6404238997725605,False,
R134,2,0.0,0.0,0.0,False,0.6065306663513184,0.4379443526268005,0.7220481616557402,False,
R134,3,0.0,0.0,0.0,False,0.6065306663513184,0.433925986289978,0.7154229956752702,False,
R134,4,0.0,0.0,0.0,False,0.6065306663513184,0.3899019360542297,0.6428396084236709,False,
R134,5,0.0,0.0,0.0,False,0.6065306663513184,0.36449134349823,0.6009446244340547,False,
R135,0,0.0,0.0,0.0,False,0.6065306663513184,0.2946978807449341,0.4858746590963587,False,
R135,1,0.0,0.0,0.0,False,0.6065306663513184,0.2929824590682983,0.48304640692082534,False,
R135,2,0.976,0.962,0.014000000000000012,False,0.6065306663513184,0.3280096054077148,0.540796407510454,False,
R135,3,0.978,0.9526111111111112,0.025388888888888794,False,0.6065306663513184,0.331733763217926,0.5469365056403879,False,
R135,4,0.984,0.9687777777777777,0.015222222222222248,False,0.6065306663513184,0.3124322295188904,0.5151136568219644,False,
R135,5,0.0,0.0,0.0,False,0.6065306663513184,0.3079584836959839,0.507737697004765,False,
R145,0,0.0,0.0,0.0,False,0.6065306663513184,0.3130920827388763,0.5162015708493876,False,
