config,seed,success,collision,timeout,nav_time,path_length_ratio,intrusion_steps,intrusion_count,intrusion_rate,mean_sq_accel,min_separation,action_autocorr,mean_speed,displacement_efficiency,net_progress_per_step,nav_time_succ,path_length_ratio_succ,mean_sq_accel_succ,ep_return,n_episodes
R125,3,0.938,0.064,0.0,13.562,1.6892821522548336,1.248,1.252,0.026764122859884568,0.4994015531484711,0.5703363894506438,0.9832872105186656,0.9960234448754656,0.6077206579115566,0.1402651842135989,13.933368869936034,1.7359183626857333,0.474964593916985,1.356681975724102,500
R125,4,0.968,0.034,0.0,13.249,1.6469775794117443,1.636,1.644,0.03265114373758623,0.4403955588473718,0.5094937150175977,0.9833625419187795,0.9943478755925387,0.6228404475256699,0.14657182229149407,13.40599173553719,1.6666864827446937,0.4281938684347709,1.4272593582567572,500
R125,5,0.972,0.03,0.0,14.0675,1.748524657910292,1.034,1.038,0.020620158882277032,0.4480153322531365,0.6296840677503115,0.9871787909712509,0.994052822247635,0.5864113741374279,0.13785771689583526,14.235082304526749,1.7696289462170605,0.43462966822721133,1.4405545177540817,500
R134,0,0.0,0.0,1.0,25.0,3.124957662160977,0.136,0.142,0.00136,0.33649637020030715,1.6513417563995092,0.42031011816905023,0.9999864518915126,0.9786924483949536,-0.24339566083111094,,,,-0.50022733425349,500
R134,1,0.0,0.0,1.0,25.0,3.125,0.162,0.168,0.0016200000000000001,0.19507753318986076,1.6432919381256579,0.46169843664643795,1.0,0.9880103261748664,-0.2463985612963487,,,,-0.5002757827099412,500
R134,2,0.0,0.0,1.0,25.0,1.9857193157167006,0.136,0.14,0.0013599999999999999,1.797194819264237,1.5298510259807185,0.8252064459700909,0.6354301810293441,0.43323931849066755,-0.012995533903209743,,,,-0.5001804084777832,500
R134,3,0.0,0.0,1.0,25.0,2.9322997801075026,0.132,0.138,0.00132,0.37767291156430943,1.63907004568455,0.8983155762753051,0.9383359296344008,0.9156356341971819,-0.20901413641434857,,,,-0.5001726576955989,500
R134,4,0.0,0.0,1.0,25.0,3.120807422461881,0.152,0.158,0.00152,0.21872195387792193,1.6477793797885874,0.5108443114788689,0.998658375187802,0.9852311777687057,-0.24409777999446167,,,,-0.5001607006583363,500
R134,5,0.0,0.0,1.0,25.0,3.1228937387214835,0.178,0.184,0.0017800000000000003,0.2730649247931003,1.6343297032705835,0.5242030990012491,0.9993259963908746,0.9793095299105926,-0.24381777333706064,,,,-0.5003431190857663,500
R135,0,0.0,0.0,1.0,25.0,3.109960956314215,0.196,0.202,0.0019600000000000004,0.10747460897239876,1.6060788717620635,1.0,0.9951875060205487,0.9386527472778802,-0.17868523112088538,,,,-0.5168197471499443,500
R135,1,0.0,0.0,1.0,25.0,3.107010821800253,0.24,0.246,0.0024,0.09919982481080777,1.6106566397457782,1.0,0.9942434629760809,0.9404030017415396,-0.17825331830579427,,,,-0.5162290509166196,500
R135,2,0.97,0.03,0.0,12.7565,1.586535000858325,1.76,1.766,0.037209477166110776,0.4903185240481315,0.5353533957919744,0.9609827547971939,0.9947565638641275,0.6403318192826244,0.15067281917295616,12.949484536082474,1.6107200111669588,0.4620984528713173,0.6332036937447265,500
R135,3,0.982,0.026,0.0,13.6705,1.7069356678376721,1.062,1.07,0.020973881269179706,0.5250937524281177,0.6177951236108301,0.9794563022681817,0.9988679333617174,0.6014932329299729,0.1431881503665917,13.75254582484725,1.7171642131820946,0.5126799756996862,0.6303186643114314,500
R135,4,0.992,0.008,0.0,13.2085,1.6416140968581237,1.11,1.116,0.023119766864046716,0.44776908784060343,0.6101450183863864,0.9697554465565459,0.9941163433084257,0.623409019251975,0.14761032343552105,13.263104838709678,1.6485294254568819,0.4327081994437107,0.6820895024212077,500
R135,5,0.0,0.0,1.0,25.0,3.112269610615587,0.272,0.278,0.00272,0.1054896824580403,1.5718029733791246,1.0,0.9959262753969877,0.9453159830643633,-0.17774305048835717,,,,-0.5190306150252,500
