w_jerk,config,seed,success,collision,timeout,nav_time,path_length_ratio,intrusion_steps,intrusion_count,intrusion_rate,mean_sq_accel,min_separation,action_autocorr,mean_speed,displacement_efficiency,net_progress_per_step,nav_time_succ,path_length_ratio_succ,mean_sq_accel_succ,ep_return,n_episodes
0.02,R12345,2,0.96,0.06,0.0,14.963,1.8671540984443589,1.112,1.112,0.021874538677003355,0.5126960838700779,0.61098572573248,0.9761864068487017,0.9980427953792325,0.5503099731270878,0.1287898239254434,15.222916666666666,1.899721141369676,0.4874450261627897,1.359150031628248,250
0.05,R12345,0,0.88,0.128,0.0,15.719,1.9596327049817157,1.372,1.372,0.030849713698285416,0.4737136217978939,0.5485770142603957,0.9906027930426808,0.9970358947614986,0.5333116793317231,0.11866713882003534,16.80909090909091,2.095946602133653,0.44694561161354357,1.1594618351290642,250
0.05,R12345,1,0.844,0.164,0.0,13.801,1.7144988868729878,1.808,1.824,0.04403913101573619,0.48952843657546385,0.46006771436554755,0.9940311026888408,0.991613998340038,0.6006011012771082,0.1305352746474469,15.135071090047393,1.8815542097995692,0.44893045057376985,1.0700034441583466,250
0.05,R12345,2,0.896,0.112,0.0,13.849,1.7158730463407792,1.652,1.656,0.0469789192707602,0.5004180140100097,0.4988286683487842,0.9791572246499897,0.9893471521926801,0.5970291507814176,0.12895534145422868,14.705357142857142,1.822822424838095,0.4126554028637626,1.1917809462540971,250
0.1,R12345,0,0.84,0.172,0.0,14.764,1.810046353974244,1.812,1.852,0.04707522619284295,0.39764830739984997,0.44383343842395556,0.9912090961325616,0.974874070096587,0.5614987327328897,0.12035299716295324,16.09404761904762,1.9763641921226833,0.3742195011625387,1.0373800831032405,250
0.1,R12345,1,0.0,1.0,0.0,2.48,0.29348977528359604,3.132,3.384,0.385294976341813,1.4576642005564613,-0.11092366028542584,0.9329184118916567,0.9229720751303928,0.9517773141056379,0.1709907065229426,,,,-0.9409241967009512,250
0.1,R12345,2,0.684,0.316,0.0,11.293,1.3779732033632468,2.836,2.868,0.09941320813781242,0.5263762855250633,0.2981278332642289,0.9833401149162249,0.9620549158202727,0.6890897669747503,0.13167041928302786,13.726608187134502,1.6821738509600912,0.4221500472138373,0.6713600222338555,250
0.2,R12345,0,0.668,0.332,0.0,10.849,1.3284841223171615,3.444,3.524,0.12992069485810145,0.5984751624799923,0.30907914142697474,0.971707772685688,0.9644456023167268,0.7076136440116484,0.1371038618351957,13.48502994011976,1.6609394599193366,0.44205070885425984,0.5381671511089043,250
0.2,R12345,1,0.776,0.228,0.0,12.766,1.583927866442648,2.54,2.588,0.0774677822068594,0.5265904357353322,0.4095984765926053,0.9863287859422025,0.9885393893043734,0.6345833145787533,0.13024892130199642,14.521907216494846,1.803806936402155,0.4404475376693025,0.7671233460310941,250
0.2,R12345,2,0.68,0.32,0.0,11.649,1.4367811903461536,3.12,3.208,0.10675796077392886,0.5139188345491712,0.331034854540238,0.9844903768952515,0.9755761916412433,0.6830694229342358,0.13638568953567462,13.93235294117647,1.725485796627624,0.4571955126172233,0.5581206723063806,250
