config,n_seeds,seeds_solved,success_mean,success_lo,success_hi,success_ci95,success_median,success_iqr,collision_mean,collision_lo,collision_hi,collision_ci95,collision_median,collision_iqr,timeout_mean,timeout_lo,timeout_hi,timeout_ci95,timeout_median,timeout_iqr,intrusion_count_mean,intrusion_count_lo,intrusion_count_hi,intrusion_count_ci95,intrusion_count_median,intrusion_count_iqr,path_length_ratio_succ_mean,path_length_ratio_succ_lo,path_length_ratio_succ_hi,path_length_ratio_succ_ci95,path_length_ratio_succ_median,path_length_ratio_succ_iqr,nav_time_succ_mean,nav_time_succ_lo,nav_time_succ_hi,nav_time_succ_ci95,nav_time_succ_median,nav_time_succ_iqr,mean_sq_accel_mean,mean_sq_accel_lo,mean_sq_accel_hi,mean_sq_accel_ci95,mean_sq_accel_median,mean_sq_accel_iqr,min_separation_mean,min_separation_lo,min_separation_hi,min_separation_ci95,min_separation_median,min_separation_iqr,action_autocorr_mean,action_autocorr_lo,action_autocorr_hi,action_autocorr_ci95,action_autocorr_median,action_autocorr_iqr,displacement_efficiency_mean,displacement_efficiency_lo,displacement_efficiency_hi,displacement_efficiency_ci95,displacement_efficiency_median,displacement_efficiency_iqr,alias
R135,6,0.5,0.49066666666666664,0.16166666666666665,0.8216666666666668,0.33000000000000007,0.485,0.979,0.010666666666666666,0.0013333333333333333,0.020666666666666667,0.009666666666666667,0.004,0.0215,0.5,0.16666666666666666,0.8333333333333334,0.33333333333333337,0.5,1.0,0.7796666666666668,0.3686666666666667,1.281,0.4561666666666666,0.674,0.8505,1.6588045499353117,1.6107200111669588,1.7171642131820946,0.05322210100756786,1.6485294254568819,0.05322210100756797,13.321711733213135,12.949484536082474,13.752545824847251,0.4015306443823885,13.263104838709678,0.4015306443823867,0.2958909134263499,0.16043963080605667,0.4381029476621714,0.13883165842805736,0.2776218484065011,0.3736952509096195,1.0919720037793594,0.7387381826517933,1.441615818860689,0.3514388181044478,1.0947990484949774,0.9854523524738316,0.9850324172703203,0.9720266688693848,0.9965760503780303,0.012274690754322748,0.9897281511340908,0.02781933951554516,0.7816009672580592,0.6678122141003997,0.8917443820889837,0.11196608399429198,0.7894922832802522,0.31232571886598737,
R145,6,0.3333333333333333,0.32566666666666666,0.0,0.6536666666666666,0.3268333333333333,0.0,0.7275,0.008666666666666668,0.0006666666666666666,0.019333333333333334,0.009333333333333334,0.002,0.013000000000000001,0.666,0.33266666666666667,0.9993333333333334,0.33333333333333337,0.998,0.751,0.5663333333333332,0.27899999999999997,0.8940000000000001,0.3075000000000001,0.33799999999999997,0.5785,1.6736015941922382,1.604768839562222,1.7424343488222547,0.06883275463001637,1.6736015941922382,0.06883275463001648,13.420169621154974,12.883638211382113,13.956701030927835,0.5365314097728611,13.420169621154974,0.5365314097728593,0.24639994084565067,0.09690331829922043,0.3987041085601563,0.15090039513046793,0.10000270809678981,0.3324513789281885,1.2364380103058341,0.9187773495410297,1.5429022761103104,0.3120624632846403,1.5293340994236253,0.6627505665918632,0.9845244847084803,0.9656017795039812,0.9989925670311438,0.016695393763581312,0.9969777010934318,0.024041433195148176,0.8366582519320502,0.7123105913135493,0.9468093832883776,0.11724939598741413,0.9455130693214733,0.23102728221835522,
R234,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,0.0,0.001,0.0005,0.0,0.0,0.9996666666666667,0.999,1.0,0.0005000000000000004,1.0,0.0,0.165,0.15033333333333332,0.18066666666666664,0.015166666666666662,0.16499999999999998,0.03,,,,,,0.0,,,,,,0.0,0.9951872544665884,0.6156062703218027,1.3749349918844271,0.3796643607813122,1.0367109792278002,0.774911464082129,1.5086121268097503,1.4331086973425187,1.57849936357972,0.07269533311860066,1.5124263944797556,0.07651925783174973,0.8448133701964172,0.7233705187647758,0.919642480246967,0.09813598074109564,0.8991715489044598,0.03889310501884968,0.49734740359278673,0.34430406657255674,0.7075961100077572,0.18164602171760025,0.4281850954653462,0.1933836379538011,
R235,6,1.0,0.9753333333333333,0.9659999999999999,0.9846666666666666,0.00933333333333336,0.974,0.020000000000000018,0.03166666666666666,0.02033333333333333,0.042,0.010833333333333335,0.034,0.017,0.0,0.0,0.0,0.0,0.0,0.0,1.0533333333333335,0.888,1.2156666666666667,0.16383333333333333,1.031,0.2519999999999999,1.891705799910983,1.8012722236738794,2.001086623413378,0.09990719986974939,1.8835222949981492,0.059016276086981456,15.213491955014959,14.497438119023599,16.08716192949638,0.7948619052363899,15.131904433023474,0.4918798604921193,0.46686791701068736,0.4167575591844051,0.5105375876439678,0.04689001422978137,0.48365871468845845,0.07021157224871155,0.6452802759415232,0.6115770570701614,0.685076062721781,0.0367495028258098,0.6426118293475916,0.04770096778108979,0.9797818003813331,0.965642967901709,0.9896225332817109,0.01198978269000095,0.9837358132714124,0.01170733870384666,0.5510978012690942,0.5241246105341996,0.5743849741759395,0.025130181820869957,0.5530743316360622,0.01679288004582169,
R245,6,0.8333333333333334,0.7953333333333332,0.4746666666666666,0.9626666666666667,0.24400000000000002,0.951,0.019000000000000017,0.04133333333333333,0.023333333333333334,0.056666666666666664,0.016666666666666663,0.046,0.021999999999999992,0.16766666666666666,0.0,0.501,0.2505,0.0,0.0045000000000000005,0.9969999999999999,0.6483333333333334,1.3054749999999982,0.32857083333333237,0.992,0.4724999999999999,1.9635726809158853,1.8289925992951042,2.1152198094518067,0.14311360507835125,1.86437583067612,0.26869170701810896,15.793001147734449,14.714714781765869,17.013196702695744,1.1492409604649376,15.005285412262156,2.1361100653684257,0.40578222042416834,0.2751853278431314,0.48982755592527644,0.10732111404107253,0.44481801404076426,0.04573728412411804,0.7834009692260082,0.5951166750396525,1.0967589570488734,0.25082114100461045,0.6703733173124424,0.12026373406118551,0.990154210478499,0.9820170189379877,0.9964406635458373,0.007211822303924809,0.9910563590608799,0.004374914143697617,0.6104043001274372,0.5171299579340118,0.7519970949966789,0.11743356853133352,0.5698021728623441,0.06170807197748207,
R345,6,0.16666666666666666,0.16366666666666665,0.0,0.49099999999999994,0.24549999999999997,0.0,0.0,0.0036666666666666666,0.0,0.011000000000000001,0.0055000000000000005,0.0,0.0,0.8333333333333334,0.5,1.0,0.25,1.0,0.0,0.35333333333333333,0.25033333333333335,0.5313333333333333,0.14049999999999999,0.265,0.0595,1.9798681516841454,1.9798681516841454,1.9798681516841454,0.0,1.9798681516841454,0.0,15.916496945010183,15.916496945010183,15.916496945010183,0.0,15.916496945010183,0.0,0.17418565248536325,0.09472236148461195,0.2966900644461706,0.10098385148077932,0.0987735088836297,0.08020446196941292,1.4132398682625211,1.1333064697906903,1.5669312473783459,0.2168123887938278,1.5390968320564231,0.04430303125687751,0.997733459241819,0.9938100909238252,1.0,0.003094954538087391,1.0,0.0013718546963283895,0.8240131961088587,0.6840882161516723,0.9457920194862884,0.1308519016673081,0.9440731818045254,0.23366903085179724,
R12,6,0.3333333333333333,0.2806666666666667,0.0,0.6053333333333333,0.30266666666666664,0.0,0.5325,0.016666666666666666,0.001,0.038008333333333214,0.018504166666666606,0.003,0.0215,0.7033333333333333,0.37066666666666664,0.999,0.3141666666666667,0.997,0.5825,0.486,0.20566666666666666,0.8256666666666667,0.31,0.267,0.47500000000000003,2.0319236015459,2.011549159094329,2.0522980439974714,0.020374442451571273,2.0319236015459,0.02037444245157083,18.56618199959511,16.903490759753595,20.22887323943662,1.6626912398415126,18.56618199959511,1.6626912398415108,1.1740648217334275,0.6463732885652911,1.7874892305606622,0.5705579709976856,0.859520557334307,0.9820545665330376,1.2422643498376347,0.9605562540728124,1.5034686418436374,0.2714561938854125,1.423535343644088,0.48235286956085277,0.8279551598512711,0.7030273223531975,0.9124370961349539,0.1047048868908782,0.8690915836796964,0.08638103181403112,0.5195966267661036,0.35567612024496736,0.7218717198672712,0.1830977998111519,0.5079166813574338,0.12920900543922653,B2_goal+dist
R13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.16966666666666666,0.15033333333333332,0.18799999999999997,0.018833333333333327,0.174,0.026999999999999996,,,,,,0.0,,,,,,0.0,0.47268278347520226,0.2389639099283407,0.7879046412000106,0.27447036563583493,0.2984960622513245,0.3623534356100256,1.6182161413147256,1.569702172845789,1.6460644549600953,0.0381811410571532,1.63935812278019,0.007610247088226885,0.6012810228183182,0.4575618774084916,0.7556774388826396,0.149057780737074,0.49598062191187475,0.29908963586432036,0.8797298461250027,0.6996500467700271,0.9804896437376519,0.14041979848381242,0.9663770526746267,0.04732231635012729,
R14,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.1733333333333333,0.15666666666666668,0.18999999999999997,0.01666666666666665,0.174,0.031,,,,,,0.0,,,,,,0.0,0.3458568272145739,0.24353120384228066,0.496016415002625,0.12624260558017217,0.2797442315067517,0.0942178009192019,1.6364727510877344,1.628318886782835,1.6437884685410156,0.0077347908790902364,1.64077793184659,0.0114705323380766,0.5822147414067796,0.4821583236578086,0.712207145383132,0.11502441086266171,0.5260609254992472,0.1552539545845285,0.953852258487501,0.922877438669369,0.9771677448821915,0.027145153106411246,0.9592977542477162,0.028148867449589887,
R15,6,0.5,0.49433333333333335,0.16366666666666665,0.8266666666666667,0.3315,0.491,0.9895,0.006666666666666667,0.0016666666666666668,0.012666666666666666,0.0055,0.005,0.0115,0.5,0.16666666666666666,0.8333333333333334,0.33333333333333337,0.5,1.0,0.9226666666666667,0.4779999999999999,1.3960000000000001,0.4590000000000001,0.886,1.2015,1.6298254364259777,1.5960663786054103,1.6572138215092929,0.03057372145194126,1.63619610916323,0.03057372145194126,13.078299512187108,12.80193482688391,13.281754032258064,0.23990960268707706,13.151209677419354,0.23990960268707617,0.3082526513027093,0.15800732205964155,0.466467918115177,0.15423029802776772,0.2890668750271612,0.4265636830034003,1.061714614537197,0.7159632246295029,1.4044383598568067,0.3442375676136519,1.064791545038495,0.9942297647969358,0.9781023382226411,0.9625126503626701,0.9929544819063092,0.015220915771819554,0.9788634457189274,0.04232612603210717,0.7882061149617745,0.6793347555867916,0.8951226725865377,0.10789395849987304,0.7942608880390272,0.3134901599805515,
R23,6,0.0,0.016,0.0,0.04800000000000001,0.024000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984,0.952,1.0,0.02400000000000002,1.0,0.0,0.18299999999999997,0.16666666666666666,0.20866666666666664,0.02099999999999999,0.16999999999999998,0.014499999999999985,2.8610744524543,2.8610744524543,2.8610744524543,0.0,2.8610744524543,0.0,23.671875,23.671875,23.671875,0.0,23.671875,0.0,0.8493312212027057,0.5830605454154975,1.1005116263505412,0.2587255404675219,0.8683149583319452,0.5050032417561598,1.4505385593604803,1.3467750599453954,1.5561251714031676,0.10467505572888613,1.4424679093652708,0.21749026932633408,0.8584357598096807,0.8011139562007683,0.9133130332111444,0.05609953850518806,0.8711593176288613,0.0763637302365604,0.5319712762064029,0.3439771732783077,0.7407254355089044,0.19837413111529834,0.481755937647363,0.3530683493809058,
R24,6,0.16666666666666666,0.10966666666666668,0.0,0.329,0.1645,0.0,0.0,0.005333333333333333,0.0,0.015333333333333332,0.007666666666666666,0.0,0.0015,0.8850000000000001,0.6556666666666666,1.0,0.1721666666666667,1.0,0.0015000000000000568,0.25666666666666665,0.17300000000000001,0.39299999999999996,0.10999999999999997,0.195,0.06649999999999998,2.2737539306001358,2.2737539306001358,2.2737539306001358,0.0,2.2737539306001358,0.0,21.184650455927052,21.184650455927052,21.184650455927052,0.0,21.184650455927052,0.0,1.1089578226440617,0.7480255069576205,1.3812701802842957,0.3166223366633376,1.213892291971825,0.2834725318309059,1.446393528408551,1.2282332395534543,1.5804938522059382,0.17613030632624194,1.5333559110826989,0.06763858325979788,0.8475092805720604,0.7860951285690994,0.888590566378059,0.05124771890447982,0.8759064354765471,0.034459036428957535,0.49339515855512905,0.35057641579092513,0.7006301848419577,0.1750268845255163,0.43608654951837034,0.1002853068060684,
R25,6,1.0,0.9666666666666667,0.961,0.9743333333333334,0.00666666666666671,0.965,0.006500000000000061,0.03966666666666667,0.03233333333333333,0.04666666666666666,0.007166666666666665,0.039,0.0049999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,1.0286666666666666,0.8896666666666667,1.1666666666666667,0.1385,1.036,0.1964999999999999,1.9474258460912246,1.8846112879206556,1.9975470971586944,0.056467904619019404,1.9776581912253794,0.07696360083517684,15.662825079658697,15.139620789978414,16.08495050509146,0.47266485755652266,15.883366431621894,0.6118823232446786,0.4994245193435407,0.47810604694057957,0.5182051941461522,0.020049573602786308,0.5066904000171626,0.03467798615730183,0.6495162613736492,0.6149168732397757,0.6831168553563852,0.034099991058304746,0.6563323061130484,0.06848323690137459,0.9821198321410697,0.9772052793062379,0.9862976152794075,0.004546167986584804,0.982738232102762,0.006889254383355747,0.5396572719908216,0.5243272562188673,0.558475533399479,0.01707413859030582,0.5336011064428172,0.015794889193069817,B7_dist+jerk
R34,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.15500000000000003,0.1426666666666667,0.16933333333333334,0.013333333333333322,0.15,0.024999999999999994,,,,,,0.0,,,,,,0.0,0.5330380854816227,0.2395267115214955,1.052564536490537,0.4065189124845207,0.30478064749670375,0.13507107961659232,1.624277308208268,1.5857157638828,1.6466574567260357,0.030470846421617903,1.641180991905104,0.011142730498779896,0.6067629979235003,0.4700301439980863,0.7592000975460206,0.14458497677396714,0.517523705240059,0.2759707038733347,0.8800197391561614,0.6966490495580805,0.9836176396310883,0.1434842950365039,0.9790009891527731,0.05235092805755259,
